"diff_time","diff_likes","ratio"
NULL,NULL,NULL
58,-27,"-2.1481481481481481"
33,2,"16.5000000000000000"
33,24,"1.3750000000000000"
26,71,"0.36619718309859154930"
26,-26,"-1.00000000000000000000"
22,40,"0.55000000000000000000"
20,-12,"-1.6666666666666667"
14,-15,"-0.93333333333333333333"
10,35,"0.28571428571428571429"
9,-53,"-0.16981132075471698113"
8,46,"0.17391304347826086957"
8,19,"0.42105263157894736842"
8,-36,"-0.22222222222222222222"
7,-21,"-0.33333333333333333333"
7,-53,"-0.13207547169811320755"
7,-31,"-0.22580645161290322581"
7,2,"3.5000000000000000"
6,-26,"-0.23076923076923076923"
6,3,"2.0000000000000000"
5,1,"5.0000000000000000"
5,-13,"-0.38461538461538461538"
5,2,"2.5000000000000000"
4,-13,"-0.30769230769230769231"
4,-19,"-0.21052631578947368421"
3,38,"0.07894736842105263158"
2,30,"0.06666666666666666667"
2,-75,"-0.02666666666666666667"
1,-66,"-0.01515151515151515152"
0,46,"0.00000000000000000000"
